"id","pop","lat","lon","year","sex","age","svl","weight","species"
"AA14848","N_Can",-35.0713462050662,149.288742841917,"2009","F","A",74.6,5.15,"Tympanocryptis lineata"
"AA67269","N_Can",-35.0921492065939,149.295732577014,"2016","u","J",33.9,2.67,"Tympanocryptis lineata"
"AA14551","W_Can",-35.4392950544936,149.037318617434,"2006","F?","SA",43.7,3.5,"Tympanocryptis lineata"
"AA14559","W_Can",-35.4419766969523,149.024441609082,"2006","F?","SA",40.2,3.64,"Tympanocryptis lineata"
"AA14333","W_Can",-35.4465132258172,149.036514742961,"2006","F?","A",83.5,5.8,"Tympanocryptis lineata"
"AA14820","W_Can",-35.4602721584743,149.031168588269,"2008","J","J",31.4,2.86,"Tympanocryptis lineata"
"AA61564","W_Can",-35.4510606991469,149.042985770061,"2016","M","A",65.9,5.83,"Tympanocryptis lineata"
"AA14989","N_Can",-35.0862240253752,149.286849749739,"2009","J","J",29.9,2.46,"Tympanocryptis lineata"
"AA67507","E_Can",-35.4435394014863,149.232325111681,"2018","M","SA",40.4,4,"Tympanocryptis lineata"
"AA14342","W_Can",-35.4376240375704,149.042676527119,"2006","F?","A",59.1,6.66,"Tympanocryptis lineata"
"AA14371","W_Can",-35.4311076925728,149.043086871838,"2006","F?","A",82,6.1,"Tympanocryptis lineata"
"AA83757","E_Can",-35.43510724222,149.229694825698,"2020","F","SA",41.6,4.58,"Tympanocryptis lineata"
"AA67276","N_Can",-35.0885689170212,149.28626721446,"2016","u","SA",47,4.34,"Tympanocryptis lineata"
"AA14955","W_Can",-35.4345161873707,149.042821133439,"2010","M","",NA,NA,"Tympanocryptis lineata"
"AA14598","W_Can",-35.4682365900004,149.037722891673,"2007","M","A",59.7,6.15,"Tympanocryptis lineata"
"AA14533","W_Can",-35.4442895708955,149.042545211018,"2006","M","SA",47.6,4.56,"Tympanocryptis lineata"
"AA14599","N_Can",-35.0808912281696,149.300321422579,"2007","F","A",54.5,5.19,"Tympanocryptis lineata"
"AA14556","W_Can",-35.4497480337256,149.049789029825,"2006","M","A",77.9,4.99,"Tympanocryptis lineata"
"AA14919","W_Can",-35.4278777368332,149.028112224465,"2009","M","A",55.7,5.69,"Tympanocryptis lineata"
"AA67280","N_Can",-35.0928444951471,149.305794932359,"2016","M","A",78.5,5.22,"Tympanocryptis lineata"
"AA14976","N_Can",-35.0935590232669,149.299710129903,"2009","J","J",21.7,3.28,"Tympanocryptis lineata"
"AA67111","W_Can",-35.4435963582994,149.043912037728,"2016","M","A",84.1,6.04,"Tympanocryptis lineata"
"AA15233","N_Can",-35.0845536154582,149.290776189074,"2013","M","SA",39.3,4.33,"Tympanocryptis lineata"
"AA15238","N_Can",-35.0786757509587,149.280987429588,"2013","U","J",33.7,2.36,"Tympanocryptis lineata"
"AA14854","W_Can",-35.4334589018333,149.052126742739,"2009","J","J",35.3,2.36,"Tympanocryptis lineata"
"AA14923","N_Can",-35.0910321302386,149.284427164781,"2009","F","A",71,6.17,"Tympanocryptis lineata"
"AA14853","W_Can",-35.4371468113759,149.039082910584,"2009","J","J",21.5,3.42,"Tympanocryptis lineata"
"AA67266","N_Can",-35.0770079721596,149.282786094616,"2016","M","A",70.4,5.85,"Tympanocryptis lineata"
"AA83362","E_Can",-35.45270118643,149.216211280957,"2020","","SA",46.6,5.33,"Tympanocryptis lineata"
"AA14888","W_Can",-35.4489831529677,149.04526248547,"2009","M","A",79.4,5.97,"Tympanocryptis lineata"
"AA14839","W_Can",-35.4537385846859,149.04548830479,"2008","M","SA",41.1,3.49,"Tympanocryptis lineata"
"AA14957","W_Can",-35.4434854530738,149.052430835064,"2010","M","",NA,NA,"Tympanocryptis lineata"
"AA14977","W_Can",-35.4322193679456,149.046283650883,"2009","F","SA",41.7,3.78,"Tympanocryptis lineata"
"AA67186","N_Can",-35.067501215422,149.288965579116,"2016","u","J",21,3.51,"Tympanocryptis lineata"
"AA67174","N_Can",-35.081298575628,149.304519051439,"2016","u","J",27.6,3.44,"Tympanocryptis lineata"
"AA14990","W_Can",-35.4411790547336,149.025139280996,"2009","M","SA",43.8,5.17,"Tympanocryptis lineata"
"AA67256","N_Can",-35.0812956909852,149.292060247881,"2016","u","J",20.5,2.09,"Tympanocryptis lineata"
"AA14545","W_Can",-35.4330646548224,149.042151232406,"2006","M","SA",42.7,4.63,"Tympanocryptis lineata"
"AA14912","W_Can",-35.4435934786681,149.047456201407,"2009","F","A",82.5,6.63,"Tympanocryptis lineata"
"AA15237","N_Can",-35.073822226424,149.294006234202,"2013","U","J",29.2,3.85,"Tympanocryptis lineata"
"AA14962","W_Can",-35.4504789992851,149.057762205409,"2011","J","",NA,NA,"Tympanocryptis lineata"
"AA14531","W_Can",-35.4384879423005,149.047902912875,"2006","M","SA",46.5,4.03,"Tympanocryptis lineata"
"AA67508","E_Can",-35.4442120103106,149.232301847875,"2018","","J",36.6,3.62,"Tympanocryptis lineata"
"AA14304","W_Can",-35.4423760006571,149.051115305725,"2006","M?","SA",40.2,4.95,"Tympanocryptis lineata"
"AA67177","N_Can",-35.0653848996855,149.293083041442,"2016","u","J",29.3,2.47,"Tympanocryptis lineata"
"AA14505","W_Can",-35.4398467227272,149.047517063216,"2006","F?","A",69.7,5.85,"Tympanocryptis lineata"
"AA14595","W_Can",-35.441943192546,149.037307240518,"2007","M","A",79.2,5.95,"Tympanocryptis lineata"
"AA14580","W_Can",-35.4353385483793,149.04341631645,"2007","M","A",63,5.91,"Tympanocryptis lineata"
"AA14579","W_Can",-35.4556183144781,149.034817513878,"2007","F","SA",46.3,3.37,"Tympanocryptis lineata"
"AA14458","W_Can",-35.4401643510308,149.045711140829,"2006","F?","A",84,5.79,"Tympanocryptis lineata"
"AA67264","N_Can",-35.0795404977741,149.303249345558,"2016","u","J",21.4,2.48,"Tympanocryptis lineata"
"AA14849","N_Can",-35.0825208281524,149.319875879256,"2009","F","A",52.3,6.07,"Tympanocryptis lineata"
"AA14558","W_Can",-35.4441552012813,149.0487461769,"2006","M","A",51,4.84,"Tympanocryptis lineata"
