"id","pop","lat","lon","year","sex","age","svl","weight","species"
"AA24208","Tuggeranong",-35.4275719657971,149.030969312972,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24021","Royalla",-35.5030612153498,149.1907506207,"2006","F?","A",69,8,"Tympanocryptis lineata"
"AA24272","Royalla",-35.505100177031,149.169921695926,"2010","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24296","Royalla",-35.5113598727415,149.171953864045,"2012","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24445","Royalla",-35.4962673394326,149.177802412906,"2016","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24360","Tuggeranong",-35.4426232134468,149.049071543139,"2014","F","SA",40.26666667,2.48,"Tympanocryptis lineata"
"AA24343","Royalla",-35.5192800693981,149.176314919278,"2013","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24446","Royalla",-35.5007684851943,149.189082610732,"2016","",NA,NA,NA,"Tympanocryptis lineata"
"AA24503","Tuggeranong",-35.4281004240981,149.032968523586,"2017","F","A",53,5.8,"Tympanocryptis lineata"
"AA24126","Tuggeranong",-35.4414145069432,149.045862501012,"2007","M","SA",38,2.8,"Tympanocryptis lineata"
"AA24164","Tuggeranong",-35.4227650035241,149.050926872845,"2008","M","SA",47.4,5.4,"Tympanocryptis lineata"
"AA24209","Tuggeranong",-35.4291461902833,149.053551519832,"2009","M","A",53,5.1,"Tympanocryptis lineata"
"AA24022","Royalla",-35.4934054625274,149.177445318162,"2006","M?","A",50.9,4.71,"Tympanocryptis lineata"
"AA24273","Tuggeranong",-35.4575324047182,149.045543147023,"2010","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24289","Royalla",-35.5133540504561,149.193722041048,"2011","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24508","Kowen",-35.3180151852295,149.336649242093,"2018","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24509","Royalla",-35.5046338249321,149.182875740922,"2018","",NA,NA,NA,"Tympanocryptis lineata"
"AA24558","Googong",-35.4327781757004,149.225367193445,"2020","M","A",50,4.4,"Tympanocryptis lineata"
"AA24510","Kowen",-35.318577492033,149.335255206077,"2018","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24511","Googong",-35.4467187626803,149.215908638592,"2018","",NA,NA,NA,"Tympanocryptis lineata"
"AA24512","Royalla",-35.5148124816203,149.180897100882,"2018","",NA,NA,NA,"Tympanocryptis lineata"
"AA24447","Kowen",-35.3349509676691,149.340109473723,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24559","Royalla",-35.4865605798304,149.188672768088,"2020","M","A",59,6.87,"Tympanocryptis lineata"
"AA24448","Kowen",-35.3414867243468,149.323295896333,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24513","Royalla",-35.4935407723476,149.182113089707,"2018","",NA,NA,NA,"Tympanocryptis lineata"
"AA24560","Royalla",-35.5191604869245,149.19706513407,"2020","F?","SA",44.8,3.9,"Tympanocryptis lineata"
"AA24449","Kowen",-35.3222330708369,149.342468905482,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24514","Kowen",-35.3273647825069,149.319652715217,"2018","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24561","Googong",-35.4508757577936,149.239666644335,"2020","M","SA",47,3.46,"Tympanocryptis lineata"
"AA24562","Googong",-35.4267491304214,149.228153579512,"2020","M","A",55.3,5.3,"Tympanocryptis lineata"
"AA24165","Tuggeranong",-35.4220461977721,149.039975421369,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24210","Tuggeranong",-35.4454990086638,149.048984088202,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24450","Kowen",-35.3461685457135,149.332308950208,"2016","F","A",59.3,6.9,"Tympanocryptis lineata"
"AA24166","Tuggeranong",-35.4427224037755,149.040310447328,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24451","Kowen",-35.3264177848343,149.346837380668,"2016","M","SA",47,4.3,"Tympanocryptis lineata"
"AA24127","Tuggeranong",-35.4558143763602,149.039730198216,"2007","M","A",51.2,5.2,"Tympanocryptis lineata"
"AA24167","Kowen",-35.348990119398,149.345528600088,"2008",NA,NA,NA,NA,"Tympanocryptis lineata"
